id,source_url,bathrooms,bedrooms,price,squarefeet,payment,down_percent
2702,https://www.redfin.com/WA/Seattle/3838-22nd-Ave-SW-98106/home/160457,2.75,3,669000,2000,3003,5.98
3945,https://www.redfin.com/WA/Seattle/13320-22nd-Ave-NE-98125/home/114781,2.25,4,668000,1980,2998,5.99
3445,https://www.redfin.com/WA/Seattle/1908-28th-Ave-W-98199/home/123491,1.0,2,675000,2010,3032,5.93
3553,https://www.redfin.com/WA/Seattle/11825-32nd-Ave-NE-98125/home/111549,1.75,3,675000,1966,3032,5.93
2777,https://www.redfin.com/WA/Seattle/11524-25th-Ave-NE-98125/home/116774,3.0,3,679722,1980,3054,5.88
2551,https://www.redfin.com/WA/Seattle/13230-2nd-Ave-NW-98177/home/96528,2.0,5,649950,2020,2912,6.15
3685,https://www.redfin.com/WA/Seattle/4516-SW-Alaska-St-98116/home/330357,2.25,2,684950,2010,3079,5.84
3142,https://www.redfin.com/WA/Seattle/7014-14th-Ave-NW-98117/home/495227,2.0,3,685000,1980,3079,5.84
3680,https://www.redfin.com/WA/Seattle/3320-34th-Ave-S-98144/home/171166,1.75,3,650000,1960,2912,6.15
3458,https://www.redfin.com/WA/Seattle/8836-36th-Ave-SW-98126/home/469948,2.25,4,642000,2020,2874,6.23
2881,https://www.redfin.com/WA/Seattle/832-NE-104th-St-98125/home/107407,1.75,4,645000,1962,2888,6.2
3504,https://www.redfin.com/WA/Seattle/110-NW-137th-St-98177/home/95461,1.5,4,650000,1940,2912,6.15
3009,https://www.redfin.com/WA/Seattle/4061-SW-College-St-98116/home/150790,1.75,3,649950,1940,2912,6.15
2513,https://www.redfin.com/WA/Seattle/4716-S-Mayflower-St-98118/home/493031,2.0,3,649990,2070,2912,6.15
2775,https://www.redfin.com/WA/Seattle/7221-4th-Ave-NW-98117/home/495770,0.75,2,675000,2110,3032,5.93
3961,https://www.redfin.com/WA/Seattle/12354-24th-Ave-NE-98125/home/116574,3.0,4,675000,2110,3032,5.93
2584,https://www.redfin.com/WA/Seattle/5925-31st-Ave-SW-98126/home/12302929,2.5,3,669000,2150,3003,5.98
3032,https://www.redfin.com/WA/Seattle/10263-37th-Pl-SW-98146/home/154930,2.75,4,649500,2080,2910,6.16
3029,https://www.redfin.com/WA/Seattle/4139-47th-Ave-SW-98116/home/331102,1.75,4,699000,2000,3146,5.72
3012,https://www.redfin.com/WA/Seattle/4741-36th-Ave-S-98118/home/2074070,2.0,2,695000,1960,3127,5.76
2879,https://www.redfin.com/WA/Seattle/3010-NE-89th-St-98115/home/317336,1.5,2,625000,1990,2793,6.4
3185,https://www.redfin.com/WA/Seattle/640-NW-83rd-St-98117/home/498640,1.0,4,640000,1925,2864,6.25
2758,https://www.redfin.com/WA/Seattle/13503-Wallingford-Ave-N-98133/home/101870,1.75,3,650000,1880,2912,6.15
2994,https://www.redfin.com/WA/Seattle/749-N-98th-St-98103/home/98250,1.75,3,650000,1880,2912,6.15
2546,https://www.redfin.com/WA/Seattle/3200-SW-Genesee-St-98126/home/159572,1.75,3,625000,1980,2793,6.4
3977,https://www.redfin.com/WA/Seattle/608-NW-77th-St-98117/home/498468,1.75,3,619950,2000,2769,6.45
2718,https://www.redfin.com/WA/Seattle/1416-24th-Ave-98122/home/146793,2.75,3,649000,2120,2907,6.16
2868,https://www.redfin.com/WA/Seattle/7944-Seward-Park-Ave-S-98118/home/490168,1.5,3,699000,2043,3146,5.72
3847,https://www.redfin.com/WA/Seattle/8548-2nd-Ave-NE-98115/home/110023,1.75,3,621596,2020,2777,6.44
3992,https://www.redfin.com/WA/Seattle/2825-30th-Ave-S-98144/home/171949,1.75,3,650000,1860,2912,6.15
3473,https://www.redfin.com/WA/Seattle/3034-22nd-Ave-W-98199/home/123936,1.5,3,699000,2050,3146,5.72
3671,https://www.redfin.com/WA/Seattle/3839-44th-Ave-SW-98116/home/330665,1.75,4,675000,1820,3032,5.93
3329,https://www.redfin.com/WA/Seattle/7048-Earl-Ave-NW-98117/home/163641,1.0,3,687000,2120,3089,5.82
3563,https://www.redfin.com/WA/Seattle/4505-NE-55th-St-98105/home/49731195,1.75,3,650000,1853,2912,6.15
3665,https://www.redfin.com/WA/Seattle/3436-23rd-Ave-W-98199/home/124801,2.25,3,675000,1810,3032,5.93
3658,https://www.redfin.com/WA/Seattle/10317-Interlake-Ave-N-98133/home/105030,2.25,3,649000,1850,2907,6.16
3297,https://www.redfin.com/WA/Seattle/929-NW-51st-St-98107/home/494933,1.0,2,625000,1940,2793,6.4
2971,https://www.redfin.com/WA/Seattle/3624-39th-Ave-W-98199/home/127624,1.75,3,695000,1900,3127,5.76
2719,https://www.redfin.com/WA/Seattle/6669-Holly-Pl-SW-98136/home/153741,1.75,3,630000,1900,2817,6.35
2478,https://www.redfin.com/WA/Seattle/741-N-96th-St-98103/home/99224,1.0,3,625000,2080,2793,6.4
2776,https://www.redfin.com/WA/Seattle/1043-NE-114th-St-98125/home/106015,1.5,3,690000,1860,3103,5.8
2960,https://www.redfin.com/WA/Seattle/3131-NE-81st-St-98115/home/318003,1.5,2,680000,2210,3055,5.88
3693,https://www.redfin.com/WA/Seattle/3402-Alamo-Pl-S-98144/home/167194,1.0,4,625000,2100,2793,6.4
2920,https://www.redfin.com/WA/Seattle/4431-S-Brandon-St-98118/home/491061,2.75,5,699500,2110,3149,5.72
3263,https://www.redfin.com/WA/Seattle/6972-31st-Ave-SW-98126/unit-81/home/118716363,3.75,3,629990,1874,2817,6.35
3655,https://www.redfin.com/WA/Seattle/12033-20th-Ave-NE-98125/home/116689,3.0,4,625000,2110,2793,6.4
3415,https://www.redfin.com/WA/Seattle/10317-Roosevelt-Way-NE-98125/home/107568,2.0,3,600000,2020,2674,6.67
3084,https://www.redfin.com/WA/Seattle/10317-Roosevelt-Way-NE-98125/home/107568,2.0,3,600000,2020,2674,6.67
3750,https://www.redfin.com/WA/Seattle/9840-28th-Ave-SW-98126/home/179898,2.5,5,625206,2120,2794,6.4
3031,https://www.redfin.com/WA/Seattle/923-23rd-Ave-S-98144/home/143096,2.0,4,649950,2220,2912,6.15
3363,https://www.redfin.com/WA/Seattle/932-N-89th-St-98103/home/99851,2.0,4,625000,1880,2793,6.4
2972,https://www.redfin.com/WA/Seattle/736-N-87th-St-98103/home/99069,1.75,4,645000,1800,2888,6.2
3046,https://www.redfin.com/WA/Seattle/9099-7th-Ave-NW-98117/home/100984,1.75,3,625000,1880,2793,6.4
3267,https://www.redfin.com/WA/Seattle/2336-NE-113th-St-98125/home/116997,2.25,3,625000,2120,2793,6.4
2483,https://www.redfin.com/WA/Seattle/8304-Seward-Park-Ave-S-98118/home/12302205,2.25,4,699000,2138,3146,5.72
3605,https://www.redfin.com/WA/Seattle/1904-N-140th-St-98133/home/102961,2.0,5,599300,1970,2670,6.67
3151,https://www.redfin.com/WA/Seattle/5223-40th-Ave-SW-98136/home/470987,2.75,4,679950,2250,3055,5.88
2818,https://www.redfin.com/WA/Shoreline/202-N-184th-St-98133/home/76448,2.5,3,679950,2250,3055,5.88
2692,https://www.redfin.com/WA/Seattle/3235-37th-Pl-S-98144/home/171763,2.0,3,699000,2150,3146,5.72
3672,https://www.redfin.com/WA/Seattle/4119-51st-Ave-SW-98116/home/151968,1.5,3,599000,2040,2669,6.68
3874,https://www.redfin.com/WA/Seattle/2815-11th-Ave-W-98119/home/129143,1.0,3,695000,1820,3127,5.76
3259,https://www.redfin.com/WA/Seattle/3443-16th-Ave-S-98144/home/167666,2.0,4,618000,1880,2759,6.47
3748,https://www.redfin.com/WA/Seattle/13503-Wallingford-Ave-N-98133/home/101870,1.75,4,617500,1880,2757,6.48
2821,https://www.redfin.com/WA/Seattle/5950-31st-Ave-SW-98126/home/12302960,2.5,4,625000,1850,2793,6.4
2466,https://www.redfin.com/WA/Seattle/823-NE-104th-St-98125/home/107559,2.0,2,695000,1814,3127,5.76
3949,https://www.redfin.com/WA/Seattle/2800-23rd-Ave-S-98144/home/168842,2.0,4,590000,2020,2626,6.78
2496,https://www.redfin.com/WA/Seattle/119-N-84th-St-98103/home/495300,2.25,3,675000,2300,3032,5.93
2808,https://www.redfin.com/WA/Seattle/1902-NW-83rd-St-98117/home/166185,1.75,3,679000,2280,3051,5.89
2735,https://www.redfin.com/WA/Seattle/5017-Meridian-Ave-N-98103/home/303941,1.0,3,698000,2180,3141,5.73
3206,https://www.redfin.com/WA/Seattle/6960-31st-Ave-SW-98126/unit-86/home/114062901,3.75,3,614990,1874,2745,6.5
2982,https://www.redfin.com/WA/Seattle/2319-Hughes-Ave-SW-98116/home/142939536,1.75,3,635000,2210,2841,6.3
2941,https://www.redfin.com/WA/Seattle/3701-NE-75th-St-98115/home/316709,1.75,3,588000,1970,2616,6.8
2878,https://www.redfin.com/WA/Seattle/3307-NW-68th-St-98117/home/290132,1.5,4,595000,2060,2650,6.72
2886,https://www.redfin.com/WA/Seattle/7948-32nd-Ave-SW-98126/home/471864,2.25,3,675000,2320,3032,5.93
3089,https://www.redfin.com/WA/Seattle/940-25th-Ave-S-98144/home/143328,2.0,4,619000,2160,2764,6.46
3484,https://www.redfin.com/WA/Seattle/7136-Fauntleroy-Way-SW-98136/home/154754,2.0,4,600000,1900,2674,6.67
3204,https://www.redfin.com/WA/Seattle/6950-31st-Ave-SW-98126/unit-73/home/113758206,3.75,3,602990,1874,2688,6.63
3041,https://www.redfin.com/WA/Seattle/3423-California-Ave-SW-98116/unit-A/home/18657452,2.5,3,619950,1805,2769,6.45
2814,https://www.redfin.com/WA/Seattle/14333-24th-Ave-NE-98125/home/114838,2.75,4,599000,2120,2669,6.68
3154,https://www.redfin.com/WA/Seattle/829-NE-70th-St-98115/home/309426,1.5,4,629000,2250,2812,6.36
3262,https://www.redfin.com/WA/Seattle/10105-3rd-Ave-NW-98177/home/22524366,3.5,4,569990,1980,2530,7.02
3776,https://www.redfin.com/WA/Seattle/10105-3rd-Ave-NW-98177/home/22524366,3.5,4,569990,1980,2530,7.02
3903,https://www.redfin.com/WA/Seattle/7712-30th-Ave-SW-98126/home/472817,2.0,3,585000,1918,2602,6.84
3073,https://www.redfin.com/WA/Seattle/4101-20th-Ave-SW-98106/home/160424,1.0,4,575000,2050,2554,6.96
3099,https://www.redfin.com/WA/Seattle/6753-16th-Ave-SW-98106/home/161690,2.25,4,579950,1930,2578,6.9
2748,https://www.redfin.com/WA/Seattle/5505-S-Fletcher-St-98118/home/176003,1.5,3,599999,1840,2674,6.67
3932,https://www.redfin.com/WA/Seattle/7132-Shinkle-Pl-SW-98106/home/12090389,2.5,3,599900,1833,2673,6.67
3205,https://www.redfin.com/WA/Seattle/6938-31st-Ave-SW-98126/unit-51/home/113435632,3.75,3,587900,1874,2616,6.8
3827,https://www.redfin.com/WA/Seattle/4150-41st-Ave-SW-98116/home/329086,1.5,5,650000,2380,2912,6.15
