id,source_url,bathrooms,bedrooms,price,squarefeet,mls_id
"3995","https://www.redfin.com/WA/Seattle/7302-36th-Ave-SW-98126/home/470396","1.50","3","570000","1760","1179431"
"3994","https://www.redfin.com/WA/Seattle/2336-44th-Ave-SW-98116/unit-B/home/143335831","1.75","3","699000","1450","1170659"
"3993","https://www.redfin.com/WA/Seattle/556-McGraw-St-98109/home/18657786","3.50","3","880000","1670","1180819"
"3992","https://www.redfin.com/WA/Seattle/2825-30th-Ave-S-98144/home/171949","1.75","3","650000","1860","1181443"
"3991","https://www.redfin.com/WA/Seattle/4115-SW-Hudson-St-98116/home/470925","1.00","3","589900","1750","1180941"
"3990","https://www.redfin.com/WA/Seattle/13715-Burke-Ave-N-98133/home/102336","1.00","3","425000","1140","1180775"
"3989","https://www.redfin.com/WA/Seattle/11336-12th-Ave-NE-98125/home/106359","1.00","2","675000","1280","1178313"
"3988","https://www.redfin.com/WA/Seattle/2725-NE-100th-St-98125/home/112837","1.00","3","549950","1220","1180037"
"3987","https://www.redfin.com/WA/Seattle/3105-E-Spring-St-98122/home/147055","1.75","3","719000","2160","1172646"
"3986","https://www.redfin.com/WA/Seattle/6205-44th-Ave-S-98118/home/173310","1.00","3","510000","940","1180764"
"3985","https://www.redfin.com/WA/Seattle/8435-Grattan-Pl-S-98118/home/174756","1.50","3","435000","1280","1181414"
"3984","https://www.redfin.com/WA/Seattle/5136-S-Brighton-St-98118/home/492109","1.75","4","497500","1900","1180392"
"3983","https://www.redfin.com/WA/Seattle/3906-S-Holly-St-98118/home/2096676","2.50","3","499900","1684","1181373"
"3982","https://www.redfin.com/WA/Seattle/4010-Aikins-Ave-SW-98116/home/152014","3.00","3","945000","2320","1180792"
"3981","https://www.redfin.com/WA/Seattle/5230-12th-Ave-NE-98105/home/311517","1.50","3","810000","1549","1181173"
"3980","https://www.redfin.com/WA/Seattle/8802-Burke-Ave-N-98103/home/104213","1.00","4","725000","1640","1180656"
"3979","https://www.redfin.com/WA/Seattle/6449-S-120th-St-98178/home/195381","4.00","5","689000","3370","1176110"
"3978","https://www.redfin.com/WA/Seattle/3427-13th-Ave-W-98119/home/130486","1.50","2","595000","1230","1180990"
"3977","https://www.redfin.com/WA/Seattle/608-NW-77th-St-98117/home/498468","1.75","3","619950","2000","1180988"
"3976","https://www.redfin.com/WA/Seattle/6759-16th-Ave-NW-98117/home/167008","1.00","1","527500","1430","1180755"
"3975","https://www.redfin.com/WA/Seattle/2610-Walnut-Ave-SW-98116/unit-LOT-F/home/8190136","1.50","2","620000","1680","1169840"
"3974","https://www.redfin.com/WA/Seattle/5350-SW-Orleans-St-98116/home/151804","3.25","4","1190000","3490","1163134"
"3973","https://www.redfin.com/WA/Seattle/324-23rd-Ave-E-98112/home/146533","1.75","2","549000","1060","1180235"
"3972","https://www.redfin.com/WA/Seattle/2022-Taylor-Ave-N-98109/home/132552","5.00","5","2700000","4700","1181169"
"3971","https://www.redfin.com/WA/Seattle/4200-Fremont-Ave-N-98103/home/2089201","6.00","6","2400000","3584","1181158"
"3970","https://www.redfin.com/WA/Seattle/4037-Woodland-Park-Ave-N-98103/home/2060616","4.00","5","1250000","3750","1137709"
"3969","https://www.redfin.com/WA/Seattle/7006-1st-Ave-NW-98117/home/496746","1.00","2","499922","770","1180323"
"3968","https://www.redfin.com/WA/Seattle/2103-31st-Ave-W-98199/home/125768","2.50","4","1149900","2588","1147067"
"3967","https://www.redfin.com/WA/Seattle/7610-S-Mission-Dr-98178/home/197552","2.00","3","449950","1360","1179147"
"3966","https://www.redfin.com/WA/Seattle/110-NW-105th-St-98177/home/97416","2.75","5","719000","2020","1173439"
"3965","https://www.redfin.com/WA/Seattle/645-SW-127th-St-98146/home/180774","1.50","3","435000","2500","1180265"
"3964","https://www.redfin.com/WA/Seattle/10818-3rd-Ave-SW-98146/home/181115","1.00","2","314900","950","1173481"
"3963","https://www.redfin.com/WA/Seattle/2709-34th-Ave-S-98144/home/488318","2.25","4","1185000","2930","1180507"
"3962","https://www.redfin.com/WA/Seattle/13224-39th-Ave-NE-98125/home/319649","2.75","7","950000","3530","1175213"
"3961","https://www.redfin.com/WA/Seattle/12354-24th-Ave-NE-98125/home/116574","3.00","4","675000","2110","1173789"
"3960","https://www.redfin.com/WA/Seattle/4107-NE-103rd-Pl-98125/home/113239","2.25","3","699000","1690","1180145"
"3959","https://www.redfin.com/WA/Seattle/14080-Edgewater-Ln-NE-98125/home/319260","3.00","3","1795000","2318","1175234"
"3958","https://www.redfin.com/WA/Seattle/4021-Chilberg-Ave-SW-98116/home/151931","3.00","4","874900","2480","1091180"
"3957","https://www.redfin.com/WA/Seattle/5008-SW-Dakota-St-98116/home/329933","1.75","3","495000","1530","1180597"
"3956","https://www.redfin.com/WA/Seattle/2022-NE-65th-St-98115/home/143333410","2.25","3","699000","1450","1180704"
"3955","https://www.redfin.com/WA/Seattle/2301-McGilvra-Blvd-E-98112/home/139160","1.00","2","1195000","1210","1180838"
"3954","https://www.redfin.com/WA/Seattle/1802-E-McGraw-St-98112/home/137810","2.00","3","825000","2000","1180770"
"3953","https://www.redfin.com/WA/Seattle/708-S-Director-St-98108/home/477313","1.00","2","289900","580","1180277"
"3952","https://www.redfin.com/WA/Seattle/9439-14th-Ave-SW-98106/home/475933","1.75","4","540000","1600","1180832"
"3951","https://www.redfin.com/WA/Seattle/5015-Ivanhoe-Pl-NE-98105/home/120897","2.25","4","999950","1910","1180911"
"3950","https://www.redfin.com/WA/Seattle/4329-W-Sheridan-St-98199/home/123033","3.50","5","2198000","5480","1180576"
"3949","https://www.redfin.com/WA/Seattle/2800-23rd-Ave-S-98144/home/168842","2.00","4","590000","2020","1180720"
"3948","https://www.redfin.com/WA/Seattle/732-26th-Ave-S-98144/home/112863474","2.50","3","750000","1520","1179072"
"3947","https://www.redfin.com/WA/Seattle/6037-39th-Ave-SW-98136/home/471605","2.50","3","1010000","3200","1168325"
"3946","https://www.redfin.com/WA/Seattle/11300-Corliss-Ave-N-98133/unit-LOT-A/home/103894","1.50","3","480000","1226","1180100"
"3945","https://www.redfin.com/WA/Seattle/13320-22nd-Ave-NE-98125/home/114781","2.25","4","668000","1980","1175310"
"3944","https://www.redfin.com/WA/Seattle/830-16th-Ave-98122/home/143336","2.50","3","1085000","1877","1180184"
"3943","https://www.redfin.com/WA/Seattle/4725-35th-Ave-S-98118/home/143320706","2.75","3","739000","1768","1179693"
"3942","https://www.redfin.com/WA/Seattle/6511-36th-Ave-NW-98117/home/290245","3.00","3","995000","3120","1180718"
"3941","https://www.redfin.com/WA/Seattle/6539-26th-Ave-NW-98117/home/167103","2.50","4","789000","1740","1180573"
"3940","https://www.redfin.com/WA/Seattle/4029-Beach-Dr-SW-98116/home/151627","0.75","4","1195000","1680","1180350"
"3939","https://www.redfin.com/WA/Seattle/2323-48th-Ave-SW-98116/home/46102364","3.25","3","815000","2021","1178581"
"3938","https://www.redfin.com/WA/Seattle/1637-45th-Ave-SW-98116/home/331297","2.00","4","799950","1830","1175140"
"3937","https://www.redfin.com/WA/Seattle/9425-27th-Ave-NE-98115/home/317246","1.00","3","625000","2300","1176951"
"3936","https://www.redfin.com/WA/Seattle/2142-Dexter-Ave-N-98109/home/132195","1.75","2","850000","1490","1180542"
"3935","https://www.redfin.com/WA/Seattle/2400-Aurora-Ave-N-98109/unit-204/home/42890","2.50","2","770000","1865","1179250"
"3934","https://www.redfin.com/WA/Seattle/2465-S-Edmunds-St-98108/home/478498","1.75","3","629900","2620","1180036"
"3933","https://www.redfin.com/WA/Seattle/1725-S-Shelton-St-98108/home/481028","2.00","3","450000","1610","1180731"
"3932","https://www.redfin.com/WA/Seattle/7132-Shinkle-Pl-SW-98106/home/12090389","2.50","3","599900","1833","1177866"
"3931","https://www.redfin.com/WA/Seattle/7503-16th-Ave-SW-98106/home/160993","1.00","4","350000","810","1180082"
"3930","https://www.redfin.com/WA/Seattle/826-SW-96th-Pl-98106/home/8187829","1.75","3","428000","1410","1180221"
"3929","https://www.redfin.com/WA/Seattle/5752-30th-Ave-NE-98105/home/312825","2.00","2","628800","1500","1179317"
"3928","https://www.redfin.com/WA/Seattle/1343-N-79th-St-98103/home/307084","1.75","3","739000","1590","1176186"
"3927","https://www.redfin.com/WA/Seattle/2134-N-88th-St-98103/home/105284","2.00","2","549950","1440","1180654"
"3926","https://www.redfin.com/WA/Seattle/123-N-35th-St-98103/home/493236","0.75","2","1200000","1601","1180688"
"3925","https://www.redfin.com/WA/Seattle/10016-Mary-Ave-NW-98177/home/95439","2.50","3","595000","1360","1179630"
"3924","https://www.redfin.com/WA/Seattle/715-SW-106th-St-98146/home/182731","2.00","3","399000","1070","1173170"
"3923","https://www.redfin.com/WA/Seattle/10101-32nd-Ave-SW-98146/home/155817","2.00","3","425000","","1179437"
"3922","https://www.redfin.com/WA/Seattle/2533-13th-Ave-S-98144/home/167216","3.00","3","724900","1363","1178849"
"3921","https://www.redfin.com/WA/Seattle/5937-California-Ave-SW-98136/unit-C/home/25674577","1.75","3","525000","1342","1178069"
"3920","https://www.redfin.com/WA/Seattle/1932-N-120th-St-98133/home/103327","1.75","3","615000","1670","1179370"
"3919","https://www.redfin.com/WA/Seattle/11519-12th-Ave-NE-98125/unit-F/home/106491","2.75","4","699950","2160","1179547"
"3918","https://www.redfin.com/WA/Seattle/614-20th-Ave-98122/home/143654","2.00","3","700000","1860","1180055"
"3917","https://www.redfin.com/WA/Seattle/2920-1st-Ave-W-98119/unit-B/home/143180052","2.25","4","925000","1900","1180198"
"3916","https://www.redfin.com/WA/Seattle/5971-Rainier-Ave-S-98118/unit-B/home/2064826","3.50","3","450000","1660","1180240"
"3915","https://www.redfin.com/WA/Seattle/4828-S-Kenny-St-98118/home/491783","1.00","2","429000","840","1178114"
"3914","https://www.redfin.com/WA/Seattle/9542-24th-Ave-NW-98117/home/289743","2.25","3","985000","2353","1154816"
"3913","https://www.redfin.com/WA/Seattle/4954-Lewis-Pl-SW-98116/home/152718","1.00","2","499950","1740","1162483"
"3912","https://www.redfin.com/WA/Seattle/3046-47th-Ave-SW-98116/home/330720","1.75","3","580000","1810","1179677"
"3911","https://www.redfin.com/WA/Seattle/7314-Woodlawn-Ave-NE-98115/home/307733","3.50","3","799950","1417","1175991"
"3910","https://www.redfin.com/WA/Seattle/3611-NE-82nd-St-98115/home/315488","1.75","3","795000","1790","1179275"
"3909","https://www.redfin.com/WA/Seattle/8141-16th-Ave-SW-98106/home/474236","1.00","2","400000","1060","1175190"
"3908","https://www.redfin.com/WA/Seattle/2101-N-88th-St-98103/home/105292","1.00","2","685000","1780","1179269"
"3907","https://www.redfin.com/WA/Seattle/443-SW-127th-St-98146/home/182112","1.75","4","399000","1440","1179757"
"3906","https://www.redfin.com/WA/Seattle/6710-48th-Ave-SW-98136/home/153131","1.75","4","745000","2590","1164008"
"3905","https://www.redfin.com/WA/Seattle/326-N-138th-St-98133/home/101762","1.75","3","470000","1740","1178838"
"3904","https://www.redfin.com/WA/Seattle/6515-29th-Ave-SW-98126/home/18661972","2.25","3","510000","1800","1180165"
"3903","https://www.redfin.com/WA/Seattle/7712-30th-Ave-SW-98126/home/472817","2.00","3","585000","1918","1179956"
"3902","https://www.redfin.com/WA/Seattle/3701-E-Jefferson-St-98122/home/141751","1.50","4","980000","2290","1176332"
"3901","https://www.redfin.com/WA/Seattle/1723-25th-Ave-98122/unit-C/home/147083","3.50","3","750000","2090","1178975"
"3900","https://www.redfin.com/WA/Seattle/4228-S-Willow-St-98118/home/173907","2.50","5","849900","3160","1177252"
"3899","https://www.redfin.com/WA/Seattle/1932-NW-98th-St-98117/home/289802","2.50","3","900000","1610","1170107"
"3898","https://www.redfin.com/WA/Seattle/8018-18th-Ave-NW-98117/home/164741","1.00","2","550000","1210","1179695"
